match_id,date,competition,confederation,match_type,season,home_away,team,opponent,gols_marcados,gols_sofridos,shots,shots_on_goal,blocked_shots,ball_possession,fouls,yellow_cards,red_cards,corners,offsides,passes_accurate,saves,has_shot_data
1138697,2024-01-13,AFCON 2023,CAF,tournament,2023,home,Ivory Coast,Guinea-Bissau,2,0,10,4,3,61.0,10,2.0,,6,2.0,498,3.0,True
1138699,2024-01-14,AFCON 2023,CAF,tournament,2023,home,Egypt,Mozambique,2,2,21,5,6,61.0,9,1.0,,7,0.0,473,0.0,True
1138700,2024-01-14,AFCON 2023,CAF,tournament,2023,home,Ghana,Cape Verde,1,2,10,1,3,47.0,17,3.0,,2,3.0,277,3.0,True
1138700,2024-01-14,AFCON 2023,CAF,tournament,2023,away,Cape Verde,Ghana,2,1,15,5,7,53.0,15,3.0,,5,3.0,319,0.0,True
1138701,2024-01-15,AFCON 2023,CAF,tournament,2023,home,Senegal,Gambia,3,0,12,5,3,66.0,13,2.0,0.0,5,1.0,359,2.0,True
1138703,2024-01-15,AFCON 2023,CAF,tournament,2023,home,Algeria,Angola,1,1,16,3,6,66.0,11,4.0,,14,4.0,442,0.0,True
1138705,2024-01-16,AFCON 2023,CAF,tournament,2023,home,Tunisia,Namibia,0,1,10,4,2,61.0,12,,,8,4.0,339,3.0,True
1138706,2024-01-16,AFCON 2023,CAF,tournament,2023,away,South Africa,Mali,0,2,12,6,1,54.0,11,2.0,,3,1.0,404,5.0,True
1138707,2024-01-17,AFCON 2023,CAF,tournament,2023,home,Morocco,Tanzania,3,0,14,7,2,52.0,12,2.0,0.0,5,,404,0.0,True
1138708,2024-01-17,AFCON 2023,CAF,tournament,2023,home,DR Congo,Zambia,1,1,25,6,6,56.0,10,1.0,,7,1.0,393,0.0,True
1138710,2024-01-18,AFCON 2023,CAF,tournament,2023,home,Ivory Coast,Nigeria,0,1,14,3,1,64.0,16,0.0,,5,3.0,367,0.0,True
1138712,2024-01-18,AFCON 2023,CAF,tournament,2023,home,Egypt,Ghana,2,2,11,5,3,58.0,14,0.0,,3,2.0,369,1.0,True
1138712,2024-01-18,AFCON 2023,CAF,tournament,2023,away,Ghana,Egypt,2,2,6,3,1,42.0,20,1.0,,4,1.0,262,3.0,True
1138714,2024-01-19,AFCON 2023,CAF,tournament,2023,home,Cape Verde,Mozambique,3,0,11,5,2,49.0,17,1.0,,1,3.0,363,2.0,True
1138711,2024-01-19,AFCON 2023,CAF,tournament,2023,home,Senegal,Cameroon,3,1,5,3,1,47.0,14,1.0,,8,3.0,257,,True
1138715,2024-01-20,AFCON 2023,CAF,tournament,2023,home,Algeria,Burkina Faso,2,2,15,4,4,64.0,13,2.0,,4,1.0,367,1.0,True
1138717,2024-01-20,AFCON 2023,CAF,tournament,2023,home,Tunisia,Mali,1,1,5,1,2,39.0,13,2.0,,3,1.0,216,,True
1138718,2024-01-21,AFCON 2023,CAF,tournament,2023,home,Morocco,DR Congo,1,1,11,4,2,54.0,17,3.0,,3,,323,1.0,True
1138718,2024-01-21,AFCON 2023,CAF,tournament,2023,away,DR Congo,Morocco,1,1,10,2,1,46.0,17,1.0,,5,,239,3.0,True
1138720,2024-01-21,AFCON 2023,CAF,tournament,2023,home,South Africa,Namibia,4,0,12,8,2,51.0,19,1.0,,6,2.0,256,1.0,True
1138721,2024-01-22,AFCON 2023,CAF,tournament,2023,away,Ivory Coast,Equatorial Guinea,0,4,22,3,3,68.0,21,2.0,,11,2.0,325,3.0,True
1138723,2024-01-22,AFCON 2023,CAF,tournament,2023,away,Ghana,Mozambique,2,2,8,4,3,39.0,32,5.0,,3,0.0,180,2.0,True
1138724,2024-01-22,AFCON 2023,CAF,tournament,2023,home,Cape Verde,Egypt,2,2,6,3,3,47.0,8,1.0,,4,3.0,331,5.0,True
1138724,2024-01-22,AFCON 2023,CAF,tournament,2023,away,Egypt,Cape Verde,2,2,27,7,12,53.0,10,2.0,,8,1.0,386,1.0,True
1138725,2024-01-23,AFCON 2023,CAF,tournament,2023,away,Senegal,Guinea,2,0,12,2,6,49.0,15,2.0,,6,1.0,301,1.0,True
1138728,2024-01-23,AFCON 2023,CAF,tournament,2023,away,Algeria,Mauritania,0,1,16,6,2,75.0,15,3.0,,6,2.0,463,6.0,True
1138729,2024-01-24,AFCON 2023,CAF,tournament,2023,home,South Africa,Tunisia,0,0,11,2,3,45.0,13,,,5,1.0,299,2.0,True
1138729,2024-01-24,AFCON 2023,CAF,tournament,2023,away,Tunisia,South Africa,0,0,11,2,3,55.0,9,,,6,1.0,367,2.0,True
1138731,2024-01-24,AFCON 2023,CAF,tournament,2023,away,DR Congo,Tanzania,0,0,9,3,2,49.0,9,1.0,,4,1.0,366,0.0,True
1138732,2024-01-24,AFCON 2023,CAF,tournament,2023,away,Morocco,Zambia,1,0,19,7,3,58.0,17,1.0,,7,1.0,438,2.0,True
1166110,2024-01-29,AFCON 2023,CAF,tournament,2023,home,Cape Verde,Mauritania,1,0,18,4,9,69.0,18,1.0,,11,,381,0.0,True
