match_id,date,competition,confederation,match_type,season,home_away,team,opponent,gols_marcados,gols_sofridos,shots,shots_on_goal,blocked_shots,ball_possession,fouls,yellow_cards,red_cards,corners,offsides,passes_accurate,saves,ast,has_shot_data,weight
1501817,2026-04-01,International Friendlies 2026,FRIENDLY,friendly,2026,home,Brazil,Croatia,3,1,,,,,,,,,,,,,False,0.8
1501817,2026-04-01,International Friendlies 2026,FRIENDLY,friendly,2026,away,Croatia,Brazil,1,3,,,,,,,,,,,,,False,0.8
1501818,2026-05-31,International Friendlies 2026,FRIENDLY,friendly,2026,home,Germany,Finland,4,0,22.0,12.0,3.0,65.0,12.0,,,10.0,1.0,628.0,0.0,,True,0.8
1502474,2026-06-06,International Friendlies 2026,FRIENDLY,friendly,2026,home,United States,Germany,1,2,16.0,4.0,5.0,52.0,11.0,1.0,,10.0,3.0,396.0,2.0,,True,0.8
1502474,2026-06-06,International Friendlies 2026,FRIENDLY,friendly,2026,away,Germany,United States,2,1,12.0,4.0,2.0,48.0,10.0,3.0,,2.0,4.0,363.0,3.0,,True,0.8
1503008,2026-05-31,International Friendlies 2026,FRIENDLY,friendly,2026,home,United States,Senegal,3,2,13.0,3.0,6.0,45.0,21.0,1.0,,3.0,0.0,274.0,2.0,,True,0.8
1503008,2026-05-31,International Friendlies 2026,FRIENDLY,friendly,2026,away,Senegal,United States,2,3,7.0,3.0,1.0,55.0,9.0,0.0,,7.0,2.0,354.0,2.0,,True,0.8
1511733,2026-06-01,International Friendlies 2026,FRIENDLY,friendly,2026,home,Austria,Tunisia,1,0,9.0,4.0,0.0,59.0,12.0,2.0,1.0,2.0,1.0,415.0,2.0,,True,0.8
1511733,2026-06-01,International Friendlies 2026,FRIENDLY,friendly,2026,away,Tunisia,Austria,0,1,14.0,2.0,3.0,41.0,12.0,1.0,0.0,4.0,2.0,280.0,3.0,,True,0.8
1511779,2026-05-30,International Friendlies 2026,FRIENDLY,friendly,2026,home,Scotland,Curacao,4,1,18.0,11.0,2.0,67.0,17.0,2.0,0.0,8.0,,535.0,2.0,,True,0.8
1511779,2026-05-30,International Friendlies 2026,FRIENDLY,friendly,2026,away,Curacao,Scotland,1,4,9.0,3.0,2.0,33.0,11.0,2.0,1.0,2.0,,234.0,7.0,,True,0.8
1512766,2026-06-02,International Friendlies 2026,FRIENDLY,friendly,2026,home,Croatia,Belgium,0,2,5.0,1.0,1.0,57.0,13.0,2.0,,3.0,4.0,469.0,3.0,,True,0.8
1512766,2026-06-02,International Friendlies 2026,FRIENDLY,friendly,2026,away,Belgium,Croatia,2,0,8.0,4.0,1.0,43.0,13.0,2.0,,4.0,2.0,347.0,1.0,,True,0.8
