match_id,date,competition,confederation,match_type,season,home_away,team,opponent,gols_marcados,gols_sofridos,shots,shots_on_goal,blocked_shots,ball_possession,fouls,yellow_cards,red_cards,corners,offsides,passes_accurate,saves,has_shot_data
1189120,2024-06-21,Copa America 2024,CONCACAF,tournament,2024,away,Canada,Argentina,0,2,10.0,2.0,4.0,36.0,9.0,2.0,,4.0,1.0,265.0,6.0,True
1146303,2024-06-23,Copa America 2024,CONCACAF,tournament,2024,home,Mexico,Jamaica,1,0,20.0,9.0,5.0,61.0,8.0,,,7.0,1.0,426.0,4.0,True
1146304,2024-06-23,Copa America 2024,CONCACAF,tournament,2024,home,United States,Bolivia,2,0,20.0,8.0,6.0,61.0,8.0,1.0,,7.0,1.0,430.0,3.0,True
1189122,2024-06-26,Copa America 2024,CONCACAF,tournament,2024,away,Canada,Peru,1,0,5.0,2.0,0.0,51.0,14.0,1.0,0.0,1.0,1.0,282.0,4.0,True
1146309,2024-06-27,Copa America 2024,CONCACAF,tournament,2024,away,Mexico,Venezuela,0,1,18.0,5.0,8.0,61.0,12.0,2.0,,7.0,2.0,397.0,1.0,True
1146310,2024-06-28,Copa America 2024,CONCACAF,tournament,2024,away,United States,Panama,1,2,6.0,3.0,0.0,26.0,4.0,2.0,1.0,0.0,3.0,114.0,2.0,True
1189124,2024-06-30,Copa America 2024,CONCACAF,tournament,2024,home,Canada,Chile,0,0,9.0,3.0,3.0,57.0,15.0,5.0,0.0,8.0,2.0,342.0,4.0,True
1146315,2024-07-01,Copa America 2024,CONCACAF,tournament,2024,home,Mexico,Ecuador,0,0,20.0,4.0,9.0,60.0,16.0,5.0,,5.0,2.0,318.0,3.0,True
1146317,2024-07-02,Copa America 2024,CONCACAF,tournament,2024,home,United States,Uruguay,0,1,8.0,3.0,3.0,50.0,12.0,2.0,,2.0,1.0,230.0,4.0,True
1227537,2024-07-10,Copa America 2024,CONCACAF,tournament,2024,away,Canada,Argentina,0,2,9.0,2.0,2.0,49.0,15.0,3.0,,2.0,0.0,395.0,1.0,True
1312104,2024-11-15,CONCACAF Nations League,CONCACAF,tournament,2024,away,United States,Jamaica,1,0,6.0,3.0,1.0,59.0,12.0,2.0,0.0,1.0,0.0,417.0,2.0,True
1312098,2024-11-15,CONCACAF Nations League,CONCACAF,tournament,2024,away,Canada,Suriname,1,0,13.0,5.0,6.0,66.0,14.0,4.0,,7.0,2.0,421.0,0.0,True
1312100,2024-11-16,CONCACAF Nations League,CONCACAF,tournament,2024,away,Mexico,Honduras,0,2,10.0,4.0,3.0,62.0,17.0,3.0,,4.0,0.0,428.0,3.0,True
1312105,2024-11-19,CONCACAF Nations League,CONCACAF,tournament,2024,home,United States,Jamaica,4,2,16.0,7.0,2.0,68.0,13.0,,,2.0,2.0,640.0,4.0,True
1312099,2024-11-20,CONCACAF Nations League,CONCACAF,tournament,2024,home,Canada,Suriname,3,0,12.0,4.0,2.0,55.0,21.0,0.0,,5.0,2.0,348.0,1.0,True
1312101,2024-11-20,CONCACAF Nations League,CONCACAF,tournament,2024,home,Mexico,Honduras,4,0,27.0,9.0,5.0,77.0,18.0,4.0,,10.0,0.0,496.0,2.0,True
1316375,2025-03-20,CONCACAF Nations League,CONCACAF,tournament,2024,home,United States,Panama,0,1,12.0,5.0,3.0,67.0,11.0,2.0,,9.0,1.0,577.0,0.0,True
1316376,2025-03-21,CONCACAF Nations League,CONCACAF,tournament,2024,home,Canada,Mexico,0,2,11.0,1.0,3.0,57.0,22.0,3.0,,7.0,1.0,289.0,1.0,True
1316376,2025-03-21,CONCACAF Nations League,CONCACAF,tournament,2024,away,Mexico,Canada,2,0,8.0,3.0,1.0,43.0,21.0,3.0,,2.0,2.0,200.0,1.0,True
1364768,2025-03-22,CONCACAF Nations League,CONCACAF,tournament,2024,home,Canada,United States,2,1,8.0,4.0,2.0,40.0,13.0,2.0,,3.0,2.0,224.0,1.0,True
1364768,2025-03-22,CONCACAF Nations League,CONCACAF,tournament,2024,away,United States,Canada,1,2,5.0,2.0,1.0,60.0,17.0,2.0,,3.0,4.0,364.0,1.0,True
